Gênero,Tipo de Escola,INDE 22,INDE 23,INDE 24,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem
Feminino,Pública,0.0,7.0797,7.697103508700001,9.002,9.4736842105,7.51,8.125,7.25,6.943333333,5.0,-2
Feminino,Pública,0.0,7.4967,5.657357017600001,7.918,8.697368421,2.51,5.9375,2.75,6.156666667,5.0,-1
Feminino,Pública,0.0,6.9647,7.7494938597,9.502,7.6710526315,7.51,7.1875,8.25,8.226666667,5.0,-1
Masculino,Pública,0.0,0.0,6.5940333333000005,10.002,5.833333333500001,6.255,6.25,5.5,5.383333333,10.0,0
Feminino,Pública,0.0,0.0,6.876997101400001,10.002,7.445652174,7.51,7.5,6.0,5.933333333,5.0,-1
Feminino,Pública,0.0,0.0,8.379199999899999,9.002,9.1666666665,7.51,7.5,7.5,8.223333333,10.0,0
Feminino,Pública,0.0,0.0,8.3907833334,8.502,9.375,2.51,7.8125,10.0,8.166666667,10.0,0
Masculino,Pública,0.0,0.0,6.4118666668,9.002,9.166666667,2.51,7.5,0.0,8.386666667,10.0,0
Masculino,Pública,0.0,0.0,7.510200000000001,10.002,8.333333333,7.51,6.25,6.5,8.336666667,5.0,-1
Masculino,Pública,0.0,0.0,8.0155333334,9.502,8.125,7.51,7.5,6.25,8.446666667,10.0,0
Feminino,Pública,0.0,0.0,8.239799999999999,7.418,8.541666667,7.51,7.5,9.0,7.443333333,10.0,0
Masculino,Pública,0.0,0.0,8.3510666667,6.834,8.3333333335,7.51,7.5,9.0,8.5,10.0,0
Feminino,Pública,0.0,7.7407,7.2838203209,8.502,8.6631016045,7.51,7.5,6.0,7.5,5.0,-1
Feminino,Pública,0.0,0.0,7.59291123,9.002,8.20855615,7.51,7.5,7.75,7.5,5.0,-1
Feminino,Pública,0.0,0.0,7.665638502700001,7.502,7.0721925135,7.51,7.5,10.0,7.5,5.0,-1
Masculino,Pública,0.0,5.48225,5.2212050505,7.002,2.7525252525,2.51,6.875,6.0,6.66,5.0,-1
Feminino,Pública,0.0,8.479366667,6.764292246,8.502,8.14171123,7.51,7.1875,4.75,6.83,5.0,-1
Feminino,Pública,0.0,7.3882,5.5058531621,8.502,7.3320158105,2.51,6.5625,2.75,6.16,5.0,-2
Masculino,Pública,0.0,6.5207,6.4727360962,7.002,4.598930481,7.51,7.1875,7.0,7.415,5.0,-1
Masculino,Pública,0.0,7.1837,6.587019518800001,8.002,7.005347594,7.51,7.1875,4.75,7.33,5.0,-1
Masculino,Pública,0.0,8.13595,6.8667414438000005,7.002,6.483957219,7.51,7.1875,7.0,7.5,5.0,-1
Masculino,Pública,0.0,6.225,5.799702673800001,7.002,4.692513369,6.255,6.875,5.25,6.49,5.0,-2
Feminino,Pública,0.0,0.0,6.823383155100001,8.502,7.6871657755000005,7.51,7.1875,5.0,7.33,5.0,-1
Masculino,Pública,0.0,7.6522,7.627588888900001,8.002,8.6944444445,7.51,6.875,8.25,7.5,5.0,-1
Feminino,Pública,0.0,8.3137,7.801200000000001,9.502,9.25,7.51,7.5,7.5,7.5,5.0,-1
Feminino,Pública,0.0,8.5922,7.040088888900001,8.502,8.4444444445,7.51,7.5,5.0,7.5,5.0,-1
Masculino,Pública,0.0,0.0,7.201526797300001,8.502,5.7516339865,7.51,7.5,8.5,7.5,5.0,-1
Masculino,Pública,7.523491593073594,7.248833333,6.917866666700001,9.002,6.833333333500001,2.51,7.5,8.25,7.5,5.0,-1
Masculino,Pública,0.0,7.831033333,6.3925823529,9.002,7.7794117645,7.51,6.875,3.0,6.99,5.0,-2
Feminino,Privada,0.0,8.962033333,7.9400888889,9.002,8.9444444445,7.51,7.5,8.75,7.5,5.0,-1
