ID_ALUNO,ANO,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE_2024,DEFAS_UNICA,DELTA_IDA
RA-1032,2023,5.0,6.0,9.5,8.5,7.52,7.291666667,7.563333333,,-1.0,
RA-1032,2024,5.0,8.0,9.75,8.502,7.51,7.8125,7.92,8.01645,-1.0,2.0
RA-1033,2023,5.0,7.9,8.9,9.0,7.52,8.125,9.006666667,,-1.0,
RA-1034,2023,5.0,8.3,9.0,7.5,7.52,8.333333333,8.393333333,,-1.0,
RA-1034,2024,10.0,7.5,8.0833333335,7.502,7.51,7.708333333,8.223333333,8.0333666666,0.0,-0.8000000000000007
RA-1035,2023,10.0,5.8,8.3,0.0,7.52,7.708333333,7.78,,0.0,
RA-1035,2024,5.0,7.0,9.0227272725,9.502,7.51,8.4375,7.92,7.833495454500001,-1.0,1.2000000000000002
RA-1036,2023,5.0,8.0,9.6,0.0,3.77,9.0625,8.336666667,,-1.0,
RA-1036,2024,10.0,7.0,9.0890269155,10.002,7.51,7.65625,7.7475,8.2841303831,0.0,-1.0
RA-1037,2023,5.0,6.7,8.4,9.0,7.52,8.59375,8.17,,-1.0,
RA-1038,2023,5.0,6.5,9.3,8.0,7.52,8.90625,8.17,,-1.0,
RA-1038,2024,10.0,8.5,7.5438596495,8.002,7.51,7.5,7.273333333,7.9646385965,0.0,2.0
RA-1039,2023,5.0,6.2,9.9,8.0,7.52,8.125,8.056666667,,-2.0,
RA-1039,2024,5.0,7.25,9.722222222,8.002,7.51,7.5,6.77,7.549644444400001,-1.0,1.0499999999999998
RA-104,2023,2.5,2.6,7.7,0.0,2.52,5.625,5.6275,,-3.0,-1.1
RA-1040,2023,5.0,6.6,9.3,10.0,7.52,7.8125,8.06,,-1.0,
RA-1040,2024,5.0,8.25,8.5416666665,9.502,7.51,7.5,7.273333333,7.764199999900001,-1.0,1.6500000000000004
RA-1041,2023,5.0,3.3,7.2,10.0,7.52,7.8125,8.003333333,,-1.0,
RA-1042,2023,5.0,4.3,6.5,0.0,3.77,7.708333333,7.666666667,,-1.0,
RA-1043,2023,5.0,2.5,7.9,10.0,6.27,7.708333333,7.833333333,,-1.0,
RA-1043,2024,5.0,8.25,7.994071146,10.002,7.51,7.291666667,6.553333333,7.539847562500002,-1.0,5.75
RA-1044,2023,5.0,6.1,9.7,8.0,7.52,7.5,8.336666667,,-1.0,
RA-1044,2024,10.0,7.0,9.523809524,7.502,7.51,7.1875,7.21,7.966711904800001,0.0,0.9000000000000004
RA-1045,2023,5.0,7.9,9.4,9.5,7.52,7.708333333,8.28,,-1.0,
RA-1046,2023,10.0,6.3,8.5,0.0,3.77,8.541666667,8.223333333,,0.0,
RA-1047,2023,10.0,6.9,8.5,10.0,3.77,8.125,7.893333333,,0.0,
RA-1048,2023,5.0,8.2,9.5,8.5,3.77,8.541666667,8.5,,-1.0,
